Customer,Churn,Card,Start_Date,Customer_Service_Calls,Credit_Limit,Total_Revolving_Balance,Average_Open_To_Buy,Average_Utilisation_Ratio,Age,Gender,Education,Marital_Status,Dependents,Income
768498155,No,Silver,2020-05-01,2,1438.3,0,1438.3,0.0,42.0,M,Graduate,Single,3,€50K - €80K
780884692,No,Silver,2019-12-01,3,27310.0,0,27310.0,0.0,42.0,M,Second level,Divorced,3,€80K - €100K
805134384,No,Silver,2020-01-01,4,4707.0,1121,3586.0,0.238,46.0,M,Primary level,Married,3,€30K - €50K
801396969,No,Silver,2020-07-01,2,1625.0,912,713.0,0.561,40.0,F,Primary level,Single,3,Less than €30K
796281899,No,Silver,2019-07-01,0,24480.0,1923,22557.0,0.079,47.0,M,Second level,Single,3,€80K - €100K
782900141,No,Silver,2020-01-01,3,7582.0,1942,5640.0,0.256,40.0,F,Graduate,Married,3,Less than €30K
823629954,No,Silver,2019-12-01,1,3787.0,824,2963.0,0.218,,F,Second level,Single,3,Less than €30K
747118805,No,Silver,2020-03-01,4,22380.0,1220,21160.0,0.055,40.0,M,Graduate,Single,3,€80K - €100K
713724078,No,Silver,2020-01-01,4,4759.0,1459,3300.0,0.307,39.0,M,Primary level,Married,3,€50K - €80K
810174847,No,Silver,2020-05-01,3,26819.0,1657,25162.0,0.062,49.0,M,Graduate,Married,4,€80K - €100K
779216688,No,Silver,2018-11-01,2,8604.0,1075,7529.0,0.125,,F,Second level,,1,Less than €30K
814601201,No,Silver,2020-01-01,1,12618.0,1585,11033.0,0.126,39.0,M,Primary level,Single,3,€80K - €100K
801510475,No,Silver,2020-05-01,3,2055.0,1276,779.0,0.621,50.0,F,Second level,Married,1,Less than €30K
717793070,No,Silver,2020-11-01,2,2991.0,1830,1161.0,0.612,34.0,F,Graduate,Married,0,€30K - €50K
722481035,No,Silver,2019-09-01,3,1960.0,1428,532.0,0.729,52.0,F,Second level,Single,2,Less than €30K
729096239,No,Silver,2019-09-01,4,3290.0,2461,829.0,0.748,51.0,M,Graduate,Married,2,€80K - €100K
714249688,No,Silver,2019-06-01,1,6224.0,1892,4332.0,0.304,54.0,M,Graduate,Married,2,€50K - €80K
786771989,No,Silver,2019-01-01,2,1438.3,0,1438.3,0.0,62.0,M,Unknown,Married,0,€30K - €50K
776647235,No,Silver,2018-09-01,3,10378.0,1540,8838.0,0.148,57.0,M,PhD,Married,1,€80K - €100K
810945985,No,Silver,2019-07-01,4,21144.0,1190,19954.0,0.056,49.0,M,Second level,Single,2,€100K +
763718456,No,Silver,2019-03-01,2,5443.0,1889,3554.0,0.347,57.0,F,Unknown,Single,2,Less than €30K
742955921,Yes,Gold,2020-09-01,3,34516.0,825,33691.0,0.024,45.0,M,Graduate,Married,4,€80K - €100K
717170565,Yes,Silver,2020-01-01,4,5021.0,2517,2504.0,0.501,38.0,F,Graduate,Married,4,Less than €30K
743555512,No,Gold,2020-01-01,2,34516.0,1106,33410.0,0.032,,M,Second level,Single,3,€100K +
723427530,No,Silver,2020-11-01,1,3809.0,1521,2288.0,0.399,38.0,M,Unknown,Married,0,€50K - €80K
717294153,No,Silver,2021-08-01,2,1438.3,1228,210.3,0.854,32.0,F,Graduate,Single,2,Less than €30K
814461834,No,Silver,2020-01-01,4,5062.0,1659,3403.0,0.328,51.0,F,Graduate,Divorced,2,Unknown
759398807,No,Silver,2020-03-01,2,34516.0,1082,33434.0,0.031,39.0,M,Unknown,,2,€100K +
823461330,No,Silver,2019-06-01,2,8203.0,654,7549.0,0.08,52.0,F,Graduate,Married,2,Less than €30K
738682758,No,Silver,2019-10-01,1,24850.0,1662,23188.0,0.067,43.0,M,Post LC,,3,€80K - €100K
745216893,No,Silver,2020-01-01,4,5991.0,1993,3998.0,0.333,56.0,F,Primary level,Married,1,Less than €30K
754744371,No,Silver,2020-01-01,4,1994.0,1175,819.0,0.589,55.0,F,Second level,Married,2,Less than €30K
767932380,No,Silver,2020-01-01,0,3174.0,1951,1223.0,0.615,55.0,F,PhD,Married,1,Less than €30K
780919603,No,Silver,2021-11-01,0,7571.0,2264,5307.0,0.299,33.0,M,MSc,Married,1,€100K +
817965445,No,Silver,2020-03-01,3,4757.0,1978,2779.0,0.416,40.0,F,Unknown,Married,2,Less than €30K
742764859,No,Silver,2019-07-01,2,34516.0,1190,33326.0,0.034,55.0,M,Second level,Divorced,2,€100K +
777135564,No,Silver,2021-03-01,3,6361.0,694,5667.0,0.109,38.0,M,Second level,Married,3,€80K - €100K
733898527,No,Silver,2020-01-01,3,30210.0,1194,29016.0,0.04,47.0,M,Second level,Married,3,€80K - €100K
708739270,No,Silver,2019-10-01,3,2734.0,2517,217.0,0.921,,F,Primary level,,2,Less than €30K
793819151,No,Silver,2020-10-01,1,5795.0,924,4871.0,0.159,34.0,F,Unknown,Married,3,Less than €30K
742741486,No,Silver,2020-01-01,3,12932.0,1893,11039.0,0.146,46.0,M,Unknown,Single,3,€80K - €100K
782120544,No,Silver,2019-07-01,1,3024.0,1649,1375.0,0.545,53.0,F,Graduate,Married,2,€30K - €50K
752630032,No,Silver,2019-10-01,2,2434.0,1340,1094.0,0.551,50.0,F,Graduate,Single,1,Less than €30K
774693793,No,Silver,2020-01-01,2,1737.0,1145,592.0,0.659,51.0,F,Post LC,Single,1,Less than €30K
725302329,Yes,Silver,2019-10-01,4,3981.0,0,3981.0,0.0,50.0,F,Graduate,Married,5,Less than €30K
785890604,No,Silver,2019-01-01,1,14344.0,2014,12330.0,0.14,56.0,M,Unknown,Single,2,€30K - €50K
732061572,No,Silver,2020-07-01,0,6006.0,1576,4430.0,0.262,51.0,F,Unknown,Married,3,Less than €30K
796762501,No,Silver,2020-01-01,2,7469.0,1378,6091.0,0.184,48.0,F,Graduate,Single,4,Unknown
804532798,No,Silver,2019-09-01,1,2111.0,966,1145.0,0.458,57.0,F,Unknown,Single,3,Unknown
809996419,No,Silver,2020-01-01,2,6175.0,960,5215.0,0.155,54.0,M,Unknown,Married,1,€80K - €100K
805407831,No,Silver,2020-04-01,1,7015.0,918,6097.0,0.131,41.0,M,Second level,Single,3,Less than €30K
731022125,Yes,Silver,2019-03-01,2,3536.0,0,3536.0,0.0,51.0,F,Primary level,Married,3,Less than €30K
813333702,No,Silver,2021-03-01,3,2859.0,2517,342.0,0.88,33.0,M,Graduate,Married,1,€50K - €80K
773576741,No,Silver,2021-02-01,3,7607.0,2170,5437.0,0.285,37.0,M,Primary level,Married,2,€100K +
731777855,No,Silver,2019-01-01,1,4908.0,1429,3479.0,0.291,53.0,F,Primary level,Single,3,Less than €30K
750400585,No,Silver,2020-01-01,3,3742.0,1175,2567.0,0.314,59.0,M,Primary level,Married,1,€50K - €80K
749166816,No,Silver,2020-09-01,0,7262.0,1466,5796.0,0.202,39.0,F,PhD,,3,€30K - €50K
793334528,No,Silver,2019-06-01,4,1844.0,0,1844.0,0.0,55.0,F,Post LC,Single,3,Less than €30K
808562658,Yes,Silver,2019-08-01,4,2425.0,0,2425.0,0.0,,F,Unknown,Single,1,€30K - €50K
775238204,Yes,Silver,2020-01-01,2,8109.0,0,8109.0,0.0,47.0,F,Graduate,,3,Less than €30K
787675046,Yes,Silver,2020-01-01,3,1866.0,0,1866.0,0.0,49.0,M,Second level,Married,5,€50K - €80K
827146133,No,Silver,2020-03-01,3,10607.0,2517,8090.0,0.237,49.0,M,Graduate,Married,5,€50K - €80K
756639668,No,Silver,2020-01-01,3,4416.0,1333,3083.0,0.302,46.0,F,Graduate,Married,3,Less than €30K
708883920,No,Silver,2020-05-01,3,3687.0,1655,2032.0,0.449,36.0,F,Primary level,Divorced,0,Less than €30K
753252566,No,Silver,2020-01-01,2,3329.0,0,3329.0,0.0,48.0,F,Unknown,Married,2,Less than €30K
724072508,No,Silver,2020-05-01,3,29923.0,0,29923.0,0.0,40.0,M,Second level,,2,€80K - €100K
739321320,No,Silver,2019-08-01,3,4207.0,1556,2651.0,0.37,,M,Second level,Married,3,€50K - €80K
775635724,No,Silver,2019-05-01,1,3790.0,1149,2641.0,0.303,,M,Second level,Single,0,Less than €30K
717644083,No,Silver,2018-11-01,3,7459.0,1717,5742.0,0.23,60.0,F,Primary level,Single,1,Unknown
745921099,No,Silver,2020-01-01,2,25790.0,1798,23992.0,0.07,43.0,M,Primary level,Married,4,€100K +
737066000,No,Silver,2020-01-01,4,8058.0,791,7267.0,0.098,39.0,F,PhD,Married,2,Unknown
789428851,No,Silver,2020-01-01,4,3281.0,1961,1320.0,0.598,45.0,F,Primary level,Single,1,Less than €30K
745782838,No,Platinum,2020-05-01,3,34516.0,1285,33231.0,0.037,52.0,M,Graduate,,4,€50K - €80K
731388069,No,Silver,2021-12-01,3,3315.0,1243,2072.0,0.375,33.0,F,Graduate,,1,Less than €30K
810705296,No,Silver,2019-01-01,5,12169.0,1935,10234.0,0.159,54.0,M,Post LC,Married,1,€80K - €100K
752239736,No,Silver,2020-01-01,0,1912.0,1163,749.0,0.608,48.0,F,Post LC,Married,3,Less than €30K
814989063,No,Silver,2020-01-01,4,3586.0,1414,2172.0,0.394,37.0,F,Second level,Single,2,Less than €30K
746079482,Yes,Silver,2021-01-01,2,2054.0,0,2054.0,0.0,37.0,F,Unknown,Single,3,Unknown
779690493,No,Silver,2021-08-01,3,4704.0,0,4704.0,0.0,30.0,F,Graduate,Divorced,0,Less than €30K
770621754,Yes,Silver,2019-09-01,1,1438.3,808,630.3,0.562,54.0,F,Graduate,Married,1,Less than €30K
770696868,No,Silver,2019-01-01,2,7176.0,1493,5683.0,0.208,57.0,F,Primary level,Single,3,Unknown
782980987,No,Silver,2020-09-01,3,3126.0,1503,1623.0,0.481,45.0,M,Second level,Single,4,€50K - €80K
807327131,No,Silver,2020-07-01,2,3125.0,2041,1084.0,0.653,40.0,F,PhD,Married,3,Less than €30K
733093947,No,Silver,2020-03-01,4,6728.0,1192,5536.0,0.177,40.0,F,Graduate,Single,3,Less than €30K
746727904,No,Silver,2019-03-01,2,2201.0,1138,1063.0,0.517,61.0,M,Primary level,Single,1,€50K - €80K
798146106,No,Silver,2019-04-01,3,2151.0,1163,988.0,0.541,50.0,M,Primary level,Married,1,€30K - €50K
782647007,No,Silver,2020-01-01,4,12229.0,997,11232.0,0.082,44.0,M,Post LC,Married,2,€50K - €80K
732852205,No,Silver,2019-02-01,1,3845.0,1460,2385.0,0.38,60.0,F,Second level,Married,1,Less than €30K
725003515,Yes,Silver,2019-03-01,3,4629.0,710,3919.0,0.153,55.0,F,Second level,Married,1,€30K - €50K
815546166,Yes,Silver,2021-01-01,3,9924.0,0,9924.0,0.0,,M,Second level,Married,2,€100K +
735953189,Yes,Silver,2020-06-01,1,13883.0,783,13100.0,0.056,43.0,M,Graduate,Married,3,€100K +
765992660,No,Silver,2020-10-01,2,6338.0,2379,3959.0,0.375,36.0,M,Post LC,Married,0,€80K - €100K
806261186,No,Silver,2020-10-01,1,13409.0,1255,12154.0,0.094,41.0,M,Primary level,Single,2,€30K - €50K
720341912,No,Silver,2020-01-01,3,1868.0,1515,353.0,0.811,31.0,M,Unknown,Married,1,Less than €30K
809955959,No,Silver,2020-01-01,3,2187.0,1094,1093.0,0.5,52.0,F,Second level,Married,3,Less than €30K
765427037,No,Silver,2019-09-01,2,1696.0,1177,519.0,0.694,,F,Graduate,Married,2,Less than €30K
806944935,No,Silver,2019-11-01,2,11434.0,0,11434.0,0.0,46.0,M,Primary level,Married,2,€80K - €100K
804612436,No,Gold,2020-03-01,2,13669.0,1774,11895.0,0.13,40.0,F,Primary level,Single,1,Less than €30K
708272503,No,Platinum,2021-02-01,3,23981.0,0,23981.0,0.0,36.0,M,Post LC,Married,2,€30K - €50K
818872757,No,Silver,2019-03-01,2,2395.0,1345,1050.0,0.562,58.0,F,Second level,Single,2,Unknown
753882124,Yes,Silver,2020-10-01,3,3427.0,0,3427.0,0.0,40.0,M,Primary level,Single,3,€80K - €100K
763847783,No,Silver,2020-12-01,2,1793.0,1141,652.0,0.636,34.0,M,Second level,Single,1,€30K - €50K
761950072,No,Silver,2020-04-01,3,6884.0,1001,5883.0,0.145,40.0,M,Second level,Married,3,€30K - €50K
720314573,No,Silver,2020-01-01,2,9355.0,1626,7729.0,0.174,50.0,F,Second level,Married,2,Less than €30K
813006201,No,Silver,2020-01-01,2,9090.0,1371,7719.0,0.151,47.0,M,MSc,Single,1,€50K - €80K
727114019,Yes,Silver,2019-09-01,4,8930.0,2517,6413.0,0.282,51.0,F,PhD,Divorced,2,Unknown
812813857,No,Silver,2020-01-01,3,3106.0,1304,1802.0,0.42,51.0,F,Graduate,Married,2,Less than €30K
803203916,Yes,Silver,2019-11-01,2,19138.0,0,19138.0,0.0,60.0,M,Primary level,Married,5,€100K +
723179495,No,Silver,2020-01-01,2,2801.0,2467,334.0,0.881,52.0,M,Graduate,Single,3,€50K - €80K
791717284,No,Silver,2020-09-01,4,18570.0,1524,17046.0,0.082,37.0,F,Second level,Single,3,Unknown
731284584,No,Silver,2020-10-01,3,3665.0,1725,1940.0,0.471,46.0,M,Graduate,,3,€80K - €100K
730975526,No,Gold,2020-06-01,3,31497.0,2192,29305.0,0.07,41.0,M,Graduate,Married,2,€50K - €80K
708925873,No,Silver,2021-03-01,1,3616.0,1155,2461.0,0.319,35.0,F,Unknown,Married,2,Less than €30K
815007499,No,Silver,2020-03-01,2,12420.0,0,12420.0,0.0,41.0,M,PhD,Single,3,€50K - €80K
794963877,No,Silver,2020-01-01,0,3114.0,1059,2055.0,0.34,47.0,F,MSc,Single,3,€30K - €50K
796206305,No,Silver,2021-02-01,2,24602.0,1660,22942.0,0.067,49.0,F,PhD,Married,5,Unknown
801661036,No,Silver,2020-08-01,2,8318.0,1945,6373.0,0.234,37.0,F,Unknown,Single,3,Unknown
821783651,No,Silver,2020-02-01,3,7050.0,659,6391.0,0.093,45.0,M,Second level,Single,3,€50K - €80K
776596786,No,Silver,2020-01-01,1,17072.0,1519,15553.0,0.089,45.0,M,Second level,Married,3,€50K - €80K
798109267,No,Silver,2018-12-01,3,3386.0,1984,1402.0,0.586,53.0,M,Unknown,Married,2,€100K +
766130525,No,Silver,2021-12-01,2,5655.0,0,5655.0,0.0,26.0,F,Graduate,Single,0,€30K - €50K
756412601,No,Silver,2019-07-01,2,1477.0,0,1477.0,0.0,50.0,F,Second level,Single,3,Less than €30K
712389053,No,Silver,2020-11-01,2,18410.0,974,17436.0,0.053,45.0,M,Second level,Divorced,3,€80K - €100K
810581534,No,Gold,2020-03-01,2,13878.0,2222,11656.0,0.16,47.0,F,Primary level,Divorced,2,Less than €30K
764919601,No,Silver,2020-01-01,3,2761.0,0,2761.0,0.0,48.0,M,Primary level,,4,€50K - €80K
825172839,No,Silver,2021-04-01,2,4670.0,0,4670.0,0.0,34.0,M,Graduate,Divorced,3,€80K - €100K
802636636,Yes,Silver,2019-06-01,2,11272.0,1744,9528.0,0.155,52.0,M,Unknown,Single,4,€30K - €50K
722120865,No,Silver,2020-06-01,2,1438.3,913,525.3,0.635,41.0,F,Second level,Single,3,€30K - €50K
823129930,No,Silver,2021-04-01,4,5297.0,0,5297.0,0.0,33.0,F,PhD,Single,2,Unknown
715453595,No,Gold,2020-01-01,3,26142.0,0,26142.0,0.0,51.0,M,Graduate,Married,2,€50K - €80K
748660762,No,Silver,2020-01-01,2,2219.0,1180,1039.0,0.532,50.0,M,MSc,Married,4,€30K - €50K
751912872,No,Silver,2020-06-01,2,5002.0,1945,3057.0,0.389,48.0,M,Post LC,Married,5,€50K - €80K
806555679,No,Silver,2019-06-01,3,1438.3,1120,318.3,0.779,54.0,F,PhD,Divorced,2,Less than €30K
744917197,No,Silver,2020-01-01,3,13220.0,848,12372.0,0.064,38.0,F,Primary level,Single,3,Unknown
751882214,No,Silver,2019-04-01,1,4778.0,1351,3427.0,0.283,49.0,M,Primary level,Married,3,€80K - €100K
750238898,No,Silver,2020-05-01,3,4708.0,0,4708.0,0.0,42.0,F,Primary level,Married,2,Unknown
822551839,No,Silver,2020-01-01,3,2874.0,2201,673.0,0.766,47.0,F,Second level,Single,1,Unknown
752089021,Yes,Silver,2021-10-01,3,1438.3,0,1438.3,0.0,34.0,F,Second level,,3,Unknown
773798815,No,Silver,2020-09-01,3,3079.0,1267,1812.0,0.411,37.0,M,Graduate,Married,2,Less than €30K
732668291,No,Silver,2021-04-01,3,4459.0,1899,2560.0,0.426,33.0,M,Graduate,Married,1,€100K +
776369817,No,Silver,2019-12-01,2,3187.0,1437,1750.0,0.451,55.0,F,Graduate,Single,3,€30K - €50K
752709001,No,Silver,2020-01-01,3,27929.0,1898,26031.0,0.068,40.0,M,Second level,Single,4,€100K +
728017508,No,Silver,2020-10-01,3,4288.0,2349,1939.0,0.548,37.0,M,Graduate,Single,1,€50K - €80K
824827758,No,Gold,2020-01-01,0,34516.0,1847,32669.0,0.054,52.0,M,Unknown,Married,1,€80K - €100K
795370715,No,Silver,2019-03-01,3,1648.0,997,651.0,0.605,59.0,M,Primary level,Single,0,€30K - €50K
727324474,No,Gold,2018-12-01,1,11060.0,1647,9413.0,0.149,,F,Primary level,Single,0,Less than €30K
790407091,No,Gold,2020-01-01,2,34516.0,1900,32616.0,0.055,39.0,M,Unknown,Single,3,€80K - €100K
779609390,No,Silver,2020-01-01,2,2165.0,1465,700.0,0.677,44.0,M,Graduate,Married,4,€80K - €100K
781532507,No,Silver,2019-11-01,3,8135.0,0,8135.0,0.0,52.0,F,Second level,Single,4,€30K - €50K
814189842,Yes,Silver,2020-03-01,2,1561.0,0,1561.0,0.0,47.0,F,Unknown,Married,3,Less than €30K
731642262,No,Gold,2020-12-01,1,34516.0,1984,32532.0,0.057,48.0,M,Primary level,Married,4,€80K - €100K
738288201,No,Silver,2020-05-01,3,7966.0,1423,6543.0,0.179,46.0,F,Second level,,2,Unknown
735554024,No,Silver,2020-12-01,4,5801.0,1176,4625.0,0.203,35.0,M,Graduate,Married,1,€30K - €50K
745451018,No,Silver,2019-07-01,0,3504.0,1698,1806.0,0.485,50.0,F,Graduate,Married,4,Less than €30K
749133796,No,Silver,2020-01-01,1,3308.0,2150,1158.0,0.65,49.0,M,Second level,Divorced,2,€30K - €50K
809115339,No,Silver,2020-01-01,0,2348.0,1061,1287.0,0.452,40.0,F,Unknown,Divorced,3,Less than €30K
771251883,Yes,Silver,2021-04-01,1,2984.0,2517,467.0,0.843,44.0,F,PhD,Married,4,Less than €30K
809866391,No,Silver,2020-02-01,2,3560.0,751,2809.0,0.211,51.0,M,Post LC,Married,4,€30K - €50K
735158616,No,Silver,2019-11-01,4,6182.0,1516,4666.0,0.245,51.0,F,Post LC,Married,1,Unknown
809836379,Yes,Silver,2021-07-01,3,2179.0,0,2179.0,0.0,37.0,F,Second level,Single,3,Unknown
796331677,No,Silver,2021-12-01,2,2243.0,1944,299.0,0.867,41.0,M,Primary level,Married,2,€50K - €80K
780478434,No,Silver,2020-02-01,1,30300.0,1166,29134.0,0.038,47.0,M,MSc,Married,2,€80K - €100K
758407883,No,Silver,2019-09-01,3,2960.0,0,2960.0,0.0,49.0,F,PhD,Single,1,Less than €30K
744275726,No,Silver,2020-02-01,0,8396.0,604,7792.0,0.072,46.0,M,Primary level,Single,2,€50K - €80K
806449456,Yes,Silver,2019-08-01,3,1899.0,671,1228.0,0.353,48.0,F,Graduate,Single,3,€30K - €50K
821148329,No,Silver,2021-03-01,3,6012.0,0,6012.0,0.0,31.0,M,Second level,Divorced,0,Less than €30K
811339000,Yes,Silver,2019-09-01,2,1625.0,0,1625.0,0.0,53.0,F,Graduate,Single,3,€30K - €50K
721910050,No,Silver,2019-07-01,1,3334.0,1151,2183.0,0.345,60.0,F,Graduate,Single,1,€30K - €50K
804748130,No,Silver,2021-01-01,2,6590.0,0,6590.0,0.0,37.0,M,Second level,Single,3,€80K - €100K
766331577,No,Silver,2020-02-01,3,7653.0,1693,5960.0,0.221,45.0,M,Graduate,Married,2,€50K - €80K
810628184,No,Silver,2020-01-01,3,9396.0,1870,7526.0,0.199,46.0,F,Graduate,Single,4,Unknown
